arm,step,manifolds_live,points
full_step/1,933,4805,13596
full_step/1,934,4800,13553
full_step/1,935,4803,13564
full_step/1,936,4796,13576
full_step/1,937,4793,13615
full_step/1,938,4784,13637
full_step/1,939,4792,13651
full_step/1,940,4792,13610
full_step/1,941,4793,13641
full_step/1,942,4788,13666
full_step/1,943,4793,13677
full_step/1,944,4794,13682
full_step/1,945,4792,13658
full_step/1,946,4794,13598
full_step/1,947,4791,13590
full_step/1,948,4790,13648
full_step/1,949,4791,13613
full_step/1,950,4790,13615
full_step/1,951,4797,13567
full_step/1,952,4800,13565
full_step/1,953,4803,13523
full_step/1,954,4800,13567
full_step/1,955,4804,13594
full_step/1,956,4800,13607
full_step/1,957,4807,13670
full_step/1,958,4813,13589
full_step/1,959,4819,13586
full_step/1,960,4817,13592
full_step/1,961,4817,13591
full_step/1,962,4813,13617
full_step/1,963,4805,13626
full_step/1,964,4796,13677
full_step/1,965,4807,13675
full_step/1,966,4810,13601
full_step/1,967,4810,13611
full_step/1,968,4805,13657
full_step/1,969,4805,13627
full_step/1,970,4804,13636
full_step/1,971,4799,13619
full_step/1,972,4806,13655
full_step/1,973,4801,13632
full_step/1,974,4801,13679
full_step/1,975,4808,13738
full_step/1,976,4807,13673
full_step/1,977,4801,13651
full_step/1,978,4813,13692
full_step/1,979,4807,13677
full_step/1,980,4803,13656
full_step/1,981,4808,13604
full_step/1,982,4810,13572
full_step/1,983,4813,13616
full_step/1,984,4803,13585
full_step/1,985,4800,13576
full_step/1,986,4810,13605
full_step/1,987,4811,13669
full_step/1,988,4804,13685
full_step/1,989,4807,13665
full_step/1,990,4806,13717
full_step/1,991,4805,13685
full_step/1,992,4813,13603
full_step/1,993,4812,13659
